date,time,temperature,dew_point,humidity,wind,wind_speed,wind_gust,pressure,precipitation,precipitation_accumulation,condition
31/10/2016,2:20 am,46 F ,45 F ,93%,SW,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
31/10/2016,2:50 am,46 F ,45 F ,93%,WSW,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
31/10/2016,3:20 am,48 F ,46 F ,93%,SW,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,3:50 am,48 F ,46 F ,93%,W,3 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,4:20 am,48 F ,46 F ,93%,W,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,4:50 am,48 F ,46 F ,93%,W,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,5:20 am,48 F ,46 F ,93%,WSW,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,5:50 am,48 F ,46 F ,93%,WSW,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,6:20 am,50 F ,46 F ,87%,WSW,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,6:50 am,50 F ,46 F ,87%,W,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,7:20 am,48 F ,46 F ,93%,WSW,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,7:50 am,50 F ,46 F ,87%,WSW,9 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,8:20 am,48 F ,46 F ,93%,VAR,3 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,8:50 am,50 F ,46 F ,87%,W,6 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,9:20 am,52 F ,48 F ,88%,W,6 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,9:50 am,54 F ,48 F ,82%,WSW,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,10:20 am,54 F ,50 F ,88%,W,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,10:50 am,55 F ,50 F ,82%,W,10 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,11:20 am,55 F ,50 F ,82%,WSW,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,11:50 am,55 F ,50 F ,82%,W,9 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,12:20 pm,57 F ,50 F ,77%,W,10 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,12:50 pm,57 F ,50 F ,77%,WSW,9 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,1:20 pm,59 F ,50 F ,72%,WSW,9 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Partly Cloudy
31/10/2016,1:50 pm,57 F ,50 F ,77%,WSW,10 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,2:20 pm,57 F ,50 F ,77%,WSW,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,2:50 pm,57 F ,50 F ,77%,W,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,3:20 pm,57 F ,50 F ,77%,WSW,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,3:50 pm,55 F ,50 F ,82%,W,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,4:20 pm,52 F ,48 F ,88%,W,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,4:50 pm,50 F ,48 F ,94%,WSW,6 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,5:20 pm,50 F ,46 F ,87%,WSW,6 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,5:50 pm,50 F ,46 F ,87%,WSW,6 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
31/10/2016,6:20 pm,52 F ,50 F ,94%,WSW,2 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Partly Cloudy
31/10/2016,6:50 pm,52 F ,50 F ,94%,WSW,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Mostly Cloudy
31/10/2016,7:20 pm,52 F ,50 F ,94%,WSW,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Light Rain
31/10/2016,7:50 pm,52 F ,50 F ,94%,N,3 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Light Rain
31/10/2016,8:20 pm,50 F ,48 F ,94%,NE,12 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Light Rain
31/10/2016,8:50 pm,48 F ,48 F ,100%,ENE,9 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Light Rain
31/10/2016,9:20 pm,48 F ,48 F ,100%,ENE,9 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Light Rain
31/10/2016,9:50 pm,48 F ,48 F ,100%,E,8 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Rain
31/10/2016,10:20 pm,48 F ,46 F ,93%,ENE,7 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Light Rain
31/10/2016,10:50 pm,48 F ,46 F ,93%,E,7 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Light Rain
31/10/2016,11:20 pm,48 F ,46 F ,93%,ENE,8 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Light Drizzle
31/10/2016,11:50 pm,48 F ,46 F ,93%,ENE,8 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Light Drizzle
01/11/2016,12:20 am,48 F ,46 F ,93%,NE,7 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Drizzle
01/11/2016,12:50 am,46 F ,46 F ,100%,NNE,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Light Rain
01/11/2016,1:20 am,46 F ,45 F ,93%,NNE,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Cloudy
01/11/2016,1:50 am,46 F ,43 F ,87%,NNE,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Cloudy
01/11/2016,2:20 am,46 F ,43 F ,87%,NNE,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Cloudy
01/11/2016,2:50 am,46 F ,41 F ,81%,NNE,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Cloudy
01/11/2016,3:20 am,46 F ,41 F ,81%,NNE,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Cloudy
01/11/2016,3:50 am,45 F ,41 F ,87%,NE,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Cloudy
01/11/2016,4:20 am,43 F ,41 F ,93%,NE,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Partly Cloudy
01/11/2016,4:50 am,39 F ,37 F ,93%,CALM,0 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,5:20 am,37 F ,36 F ,93%,SW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,5:50 am,37 F ,36 F ,93%,SW,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,6:20 am,36 F ,34 F ,93%,WSW,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,6:50 am,37 F ,36 F ,93%,WSW,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,7:20 am,36 F ,34 F ,93%,VAR,2 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,7:50 am,36 F ,34 F ,93%,VAR,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,8:20 am,36 F ,36 F ,100%,VAR,3 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,8:50 am,37 F ,37 F ,100%,SSW,2 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,9:20 am,41 F ,37 F ,87%,WSW,2 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,9:50 am,43 F ,39 F ,87%,W,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,10:20 am,46 F ,39 F ,76%,W,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,10:50 am,48 F ,37 F ,66%,WNW,5 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,11:20 am,48 F ,37 F ,66%,WNW,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,11:50 am,48 F ,37 F ,66%,W,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,12:20 pm,48 F ,36 F ,62%,WNW,7 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Partly Cloudy
01/11/2016,12:50 pm,48 F ,36 F ,62%,WNW,6 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Partly Cloudy
01/11/2016,1:20 pm,50 F ,36 F ,58%,W,7 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,1:50 pm,50 F ,37 F ,62%,W,7 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Partly Cloudy
01/11/2016,2:20 pm,48 F ,36 F ,62%,W,8 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,2:50 pm,48 F ,37 F ,66%,W,7 mph ,0 mph ,30.2 in ,0.0 in ,0.0 in ,Fair
01/11/2016,3:20 pm,48 F ,36 F ,62%,W,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,3:50 pm,46 F ,37 F ,71%,WSW,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,4:20 pm,45 F ,36 F ,71%,WSW,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,4:50 pm,39 F ,36 F ,87%,WSW,6 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,5:20 pm,39 F ,36 F ,87%,WSW,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,5:50 pm,39 F ,36 F ,87%,W,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,6:20 pm,39 F ,36 F ,87%,WSW,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,6:50 pm,36 F ,34 F ,93%,WSW,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,7:20 pm,37 F ,34 F ,87%,WSW,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,7:50 pm,36 F ,34 F ,93%,WSW,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,8:20 pm,36 F ,34 F ,93%,WSW,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,8:50 pm,36 F ,34 F ,93%,WSW,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,9:20 pm,37 F ,34 F ,87%,WSW,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,9:50 pm,37 F ,36 F ,93%,WSW,6 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,10:20 pm,37 F ,36 F ,93%,WSW,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,10:50 pm,36 F ,34 F ,93%,W,3 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,11:20 pm,34 F ,32 F ,93%,W,6 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,11:50 pm,39 F ,36 F ,87%,W,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,12:20 am,41 F ,36 F ,81%,W,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,12:50 am,36 F ,34 F ,93%,SW,6 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,1:20 am,36 F ,34 F ,93%,W,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,1:50 am,37 F ,34 F ,87%,SW,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,2:20 am,37 F ,34 F ,87%,W,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,2:50 am,37 F ,34 F ,87%,W,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,3:20 am,36 F ,34 F ,93%,S,3 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,3:50 am,36 F ,32 F ,87%,WSW,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,4:20 am,37 F ,34 F ,87%,WSW,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,4:50 am,36 F ,32 F ,87%,SW,3 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,5:20 am,36 F ,32 F ,87%,SW,6 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,5:50 am,36 F ,32 F ,87%,SSW,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,6:20 am,36 F ,32 F ,87%,SW,9 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,6:50 am,36 F ,32 F ,87%,S,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,7:20 am,36 F ,32 F ,87%,W,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,7:50 am,37 F ,34 F ,87%,WSW,6 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,8:20 am,37 F ,34 F ,87%,WSW,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,8:50 am,41 F ,37 F ,87%,WSW,9 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,9:20 am,43 F ,37 F ,81%,WSW,13 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,9:50 am,43 F ,37 F ,81%,WSW,10 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,10:20 am,43 F ,37 F ,81%,WSW,12 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,10:50 am,45 F ,39 F ,81%,WSW,12 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,11:20 am,48 F ,39 F ,71%,WSW,10 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,11:50 am,46 F ,39 F ,76%,W,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,12:20 pm,48 F ,39 F ,71%,W,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,12:50 pm,48 F ,39 F ,71%,W,6 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,1:20 pm,50 F ,39 F ,66%,W,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,1:50 pm,50 F ,39 F ,66%,W,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,2:20 pm,50 F ,39 F ,66%,W,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,2:50 pm,50 F ,37 F ,62%,W,6 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,3:20 pm,48 F ,37 F ,66%,WSW,8 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,3:50 pm,45 F ,37 F ,76%,WSW,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,4:20 pm,41 F ,36 F ,81%,WSW,3 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,4:50 pm,41 F ,37 F ,87%,WSW,3 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
01/11/2016,5:20 pm,41 F ,36 F ,81%,SSW,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,5:50 pm,39 F ,36 F ,87%,WSW,7 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,6:20 pm,39 F ,36 F ,87%,WSW,6 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,6:50 pm,39 F ,36 F ,87%,W,5 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,7:20 pm,37 F ,34 F ,87%,WSW,3 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,7:50 pm,37 F ,36 F ,93%,WSW,3 mph ,0 mph ,30.1 in ,0.0 in ,0.0 in ,Fair
02/11/2016,8:20 pm,37 F ,36 F ,93%,W,3 mph ,0 mph ,30.0 in ,0.0 in ,0.0 in ,Fair
01/11/2016,8:50 pm,37 F ,36 F ,93%,W,6 mph ,0 mph ,30.0 in ,0.0 in ,0.0 in ,Fair
02/11/2016,9:20 pm,37 F ,36 F ,93%,W,5 mph ,0 mph ,30.0 in ,0.0 in ,0.0 in ,Fair
02/11/2016,9:50 pm,37 F ,37 F ,100%,WSW,2 mph ,0 mph ,30.0 in ,0.0 in ,0.0 in ,Fair
02/11/2016,10:20 pm,39 F ,37 F ,93%,W,3 mph ,0 mph ,30.0 in ,0.0 in ,0.0 in ,Fair
02/11/2016,10:50 pm,39 F ,36 F ,87%,VAR,1 mph ,0 mph ,30.0 in ,0.0 in ,0.0 in ,Fair
02/11/2016,11:20 pm,37 F ,36 F ,93%,VAR,2 mph ,0 mph ,30.0 in ,0.0 in ,0.0 in ,Fair
02/11/2016,11:50 pm,36 F ,34 F ,93%,SW,5 mph ,0 mph ,30.0 in ,0.0 in ,0.0 in ,Fair
03/11/2016,12:20 am,36 F ,36 F ,100%,VAR,2 mph ,0 mph ,30.0 in ,0.0 in ,0.0 in ,Fair
03/11/2016,12:50 am,36 F ,36 F ,100%,W,2 mph ,0 mph ,30.0 in ,0.0 in ,0.0 in ,Fair
03/11/2016,1:20 am,37 F ,36 F ,93%,W,1 mph ,0 mph ,30.0 in ,0.0 in ,0.0 in ,Fair
03/11/2016,1:50 am,39 F ,37 F ,93%,W,3 mph ,0 mph ,30.0 in ,0.0 in ,0.0 in ,Fair
03/11/2016,2:20 am,41 F ,39 F ,93%,W,5 mph ,0 mph ,30.0 in ,0.0 in ,0.0 in ,Light Rain
03/11/2016,2:50 am,43 F ,39 F ,87%,W,6 mph ,0 mph ,30.0 in ,0.0 in ,0.0 in ,Light Rain
03/11/2016,3:20 am,43 F ,39 F ,87%,W,5 mph ,0 mph ,29.9 in ,0.0 in ,0.0 in ,Light Rain
03/11/2016,3:50 am,43 F ,41 F ,93%,WSW,7 mph ,0 mph ,29.9 in ,0.0 in ,0.0 in ,Light Rain
03/11/2016,4:20 am,43 F ,41 F ,93%,WSW,6 mph ,0 mph ,29.9 in ,0.0 in ,0.0 in ,Light Rain
03/11/2016,4:50 am,43 F ,41 F ,93%,WSW,6 mph ,0 mph ,29.9 in ,0.0 in ,0.0 in ,Light Rain
03/11/2016,5:20 am,43 F ,41 F ,93%,WSW,7 mph ,0 mph ,29.9 in ,0.0 in ,0.0 in ,Light Rain
03/11/2016,5:50 am,43 F ,41 F ,93%,WSW,8 mph ,0 mph ,29.9 in ,0.0 in ,0.0 in ,Fair
